Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
E,-54,0,0,3,12
E,-53,0,0,126,15
E,-52,0,0,174,3
E,-51,0,0,0,18
E,-50,0,0,339,18
E,-49,0,0,258,12
E,-48,0,0,15,27
E,-47,0,0,417,24
E,-46,0,0,411,42
E,-45,0,0,6,30
E,-44,0,0,381,45
E,-43,0,0,390,66
E,-42,0,0,0,57
E,-41,0,0,342,105
E,-40,0,0,465,135
E,-39,0,0,6,183
E,-38,0,0,537,267
E,-37,0,0,555,180
E,-36,0,0,3,207
E,-35,0,0,597,252
E,-34,0,0,684,252
E,-33,0,0,9,495
E,-32,0,0,423,501
E,-31,0,0,939,561
E,-30,0,0,6,711
E,-29,0,0,606,837
E,-28,0,0,570,981
E,-27,0,0,0,1092
E,-26,0,0,1002,1467
E,-25,0,0,1080,1419
E,-24,0,0,0,1350
E,-23,0,0,978,1245
E,-22,0,0,822,1005
E,-21,0,0,3,834
E,-20,0,0,1017,789
E,-19,0,0,1203,810
E,-18,0,0,0,927
E,-17,0,0,1671,627
E,-16,0,0,1236,546
E,-15,0,0,0,555
E,-14,0,0,1440,651
E,-13,0,0,1731,684
E,-12,0,0,3,888
E,-11,0,0,2142,1080
E,-10,0,0,2778,855
E,-9,0,0,3,1017
E,-8,0,0,3675,1179
E,-7,0,0,3243,1437
E,-6,0,0,3,1830
E,-5,0,0,3861,2295
E,-4,0,0,4674,2784
E,-3,0,0,3,4191
E,-2,0,0,2952,5364
E,-1,0,0,14256,10833
E,0,24,24,0,9768
E,1,3,3,14253,10830
E,2,3,6,2949,5358
E,3,3,3,0,4188
E,4,3,3,4671,2781
E,5,3,0,3858,2295
E,6,3,12,0,1818
E,7,6,6,3237,1431
E,8,3,3,3672,1176
E,9,3,6,0,1011
E,10,3,0,2775,855
E,11,3,0,2139,1080
E,12,3,0,0,888
E,13,3,0,1728,684
E,14,0,3,1440,648
E,15,0,0,0,555
E,16,0,0,1236,546
E,17,3,0,1668,627
E,18,0,3,0,924
E,19,0,0,1203,810
E,20,0,0,1017,789
E,21,3,0,0,834
E,22,0,3,822,1002
E,23,0,0,978,1245
E,24,0,0,0,1350
E,25,3,0,1077,1419
E,26,0,3,1002,1464
E,27,0,6,0,1086
E,28,0,3,570,978
E,29,3,0,603,837
E,30,6,9,0,702
E,31,3,6,936,555
E,32,3,3,420,498
E,33,9,3,0,492
E,34,3,3,681,249
E,35,3,9,594,243
E,36,3,6,0,201
E,37,3,6,552,174
E,38,9,3,528,264
E,39,6,0,0,183
E,40,6,3,459,132
E,41,3,6,339,99
E,42,0,6,0,51
E,43,0,3,390,63
E,44,3,6,378,39
E,45,3,3,3,27
E,46,6,0,405,42
E,47,3,3,414,21
E,48,6,3,9,24
E,49,6,3,252,9
E,50,0,0,339,18
E,51,0,3,0,15
E,52,3,0,171,3
E,53,3,3,123,12
E,54,3,6,0,6
E,55,0,0,129,0
E,56,0,0,207,0
E,57,0,0,0,3
E,58,0,0,21,9
E,59,0,9,117,9
E,60,0,3,0,24
E,61,0,0,24,21
E,62,0,3,69,12
E,63,0,0,0,6
E,64,0,6,15,12
E,65,0,3,27,21
E,66,6,3,0,15
E,67,3,0,6,33
E,68,3,0,0,45
E,69,0,0,0,21
E,70,0,0,0,21
E,71,0,0,6,33
E,72,3,0,3,21
E,73,9,0,0,9
E,74,6,0,9,3
E,75,3,0,0,3
E,76,0,0,0,9
E,77,0,0,0,6
E,78,0,0,9,0
E,79,0,0,9,0
E,80,0,0,0,0
E,81,0,0,9,0
E,82,0,0,3,0
E,83,3,0,0,0
E,84,3,0,48,0
E,85,0,0,48,0
E,86,0,0,0,0
E,87,0,0,15,0
E,88,0,0,12,0
E,89,0,0,0,0
E,90,0,0,45,0
E,91,0,0,45,0
E,92,0,0,0,0
E,93,0,0,21,0
E,94,0,0,21,0
E,95,0,0,0,0
E,96,0,0,9,0
E,97,0,0,9,0
E,98,0,0,0,0
E,99,0,0,12,0
E,100,0,0,12,0
E,101,0,0,0,0
E,102,0,0,0,0
E,103,0,0,0,0
E,104,0,0,0,0
